season,team,slot,position,player_id,team_id,notes
1989-90,1,1,Goalie,1469,216,
1989-90,1,2,Defence,160,-1,
1989-90,1,3,Defence,287,217,
1989-90,1,4,Left Wing,236,66,
1989-90,1,5,Center,894,8,
1989-90,1,6,Right Wing,1039,-1,
1989-90,2,1,Goalie,495,57,
1989-90,2,2,Defence,1207,-1,
1989-90,2,3,Defence,245,186,
1989-90,2,4,Left Wing,874,-1,
1989-90,2,5,Center,599,214,
1989-90,2,6,Right Wing,722,17,
1990-91,1,1,Goalie,676,8,
1990-91,1,2,Defence,955,20,
1990-91,1,3,Defence,1012,-1,
1990-91,1,4,Left Wing,1445,10,
1990-91,1,5,Center,1491,25,
1990-91,1,6,Right Wing,722,17,
1990-91,2,1,Goalie,207,8,
1990-91,2,2,Defence,1274,26,
1990-91,2,3,Defence,287,217,
1990-91,2,4,Left Wing,874,-1,
1990-91,2,5,Center,599,214,
1990-91,2,6,Right Wing,100,21,
1991-92,1,1,Goalie,528,-1,
1991-92,1,2,Defence,955,20,
1991-92,1,3,Defence,1042,217,
1991-92,1,4,Left Wing,1445,10,
1991-92,1,5,Center,599,214,
1991-92,1,6,Right Wing,722,17,
1991-92,2,1,Goalie,676,8,
1991-92,2,2,Defence,1822,24,
1991-92,2,3,Defence,160,-1,
1991-92,2,4,Left Wing,236,66,
1991-92,2,5,Center,1853,17,
1991-92,2,6,Right Wing,833,8,
1992-93,1,1,Goalie,1787,51,
1992-93,1,2,Defence,1022,9,
1992-93,1,3,Defence,1274,26,
1992-93,1,4,Left Wing,1445,10,
1992-93,1,5,Center,599,214,
1992-93,1,6,Right Wing,722,17,
1992-93,2,1,Goalie,528,-1,
1992-93,2,2,Defence,160,-1,
1992-93,2,3,Defence,1655,22,
1992-93,2,4,Left Wing,1528,5,
1992-93,2,5,Center,1853,17,
1992-93,2,6,Right Wing,545,-1,
1993-94,1,1,Goalie,676,8,
1993-94,1,2,Defence,1305,8,
1993-94,1,3,Defence,1274,26,
1993-94,1,4,Left Wing,1445,10,
1993-94,1,5,Center,1491,25,
1993-94,1,6,Right Wing,722,17,
1993-94,2,1,Goalie,1395,8,
1993-94,2,2,Defence,304,17,
1993-94,2,3,Defence,649,57,
1993-94,2,4,Left Wing,1175,3,
1993-94,2,5,Center,599,214,
1993-94,2,6,Right Wing,1528,5,
1994-95,1,1,Goalie,1671,75,
1994-95,1,2,Defence,141,186,
1994-95,1,3,Defence,980,3,
1994-95,1,4,Left Wing,1244,10,
1994-95,1,5,Center,968,15,
1994-95,1,6,Right Wing,2,17,
1994-95,2,1,Goalie,1285,3,
1994-95,2,2,Defence,1865,3,
1994-95,2,3,Defence,1496,20,
1994-95,2,4,Left Wing,1738,10,
1994-95,2,5,Center,1853,17,
1994-95,2,6,Right Wing,722,17,
1995-96,1,1,Goalie,819,20,
1995-96,1,2,Defence,980,3,
1995-96,1,3,Defence,1274,10,
1995-96,1,4,Left Wing,1175,3,
1995-96,1,5,Center,599,214,
1995-96,1,6,Right Wing,2,17,
1995-96,2,1,Goalie,1671,75,
1995-96,2,2,Defence,1389,214,
1995-96,2,3,Defence,385,5,
1995-96,2,4,Left Wing,1445,10,
1995-96,2,5,Center,968,15,
1995-96,2,6,Right Wing,722,17,
1996-97,1,1,Goalie,1767,216,
1996-97,1,2,Defence,955,20,
1996-97,1,3,Defence,980,3,
1996-97,1,4,Left Wing,12027,20,
1996-97,1,5,Center,1491,25,
1996-97,1,6,Right Wing,1528,20,
1996-97,2,1,Goalie,12032,23,
1996-97,2,2,Defence,1274,10,
1996-97,2,3,Defence,1611,20,
1996-97,2,4,Left Wing,1445,10,
1996-97,2,5,Center,968,15,
1996-97,2,6,Right Wing,12411,0,
1997-98,1,1,Goalie,647,10,
1997-98,1,2,Defence,1517,19,
1997-98,1,3,Defence,134,3,
1997-98,1,4,Left Wing,1437,214,
1997-98,1,5,Center,599,214,
1997-98,1,6,Right Wing,501,214,
1997-98,2,1,Goalie,819,20,
1997-98,2,2,Defence,1611,20,
1997-98,2,3,Defence,955,20,
1997-98,2,4,Left Wing,1711,20,
1997-98,2,5,Center,1491,25,
1997-98,2,6,Right Wing,12067,217,
1998-99,1,1,Goalie,12524,9,
1998-99,1,2,Defence,955,20,
1998-99,1,3,Defence,1496,20,
1998-99,1,4,Left Wing,1528,20,
1998-99,1,5,Center,1491,25,
1998-99,1,6,Right Wing,2,17,
1998-99,2,1,Goalie,819,20,
1998-99,2,2,Defence,12425,20,
1998-99,2,3,Defence,12511,20,
1998-99,2,4,Left Wing,12027,20,
1998-99,2,5,Center,509,20,
1998-99,2,6,Right Wing,12508,20,
