PlayerId;Year;TeamId;LeagueId;GP;GS;Min;W;L;T/OL;ENG;SO;GA;SA;GR
2394;1990;19;0;0;0;0;0;0;0;0;0;0;0;0
714;1989;19;0;6;6;20910;1;3;2;0;0;16;147;64
714;1990;19;0;7;7;25251;2;5;0;2;0;19;181;68
714;1991;19;0;7;7;25395;3;3;1;1;0;18;157;63
714;1993;8;0;3;3;10800;1;2;0;0;0;12;78;54
1043;1993;15;0;2;2;7200;1;1;0;0;0;7;62;67
1043;1989;15;0;0;0;0;0;0;0;0;0;0;0;0
1043;1990;15;0;4;4;14660;1;2;1;0;0;13;128;75
1043;1992;15;0;1;0;1407;1;0;0;0;0;0;10;67
1186;1989;9;0;0;0;0;0;0;0;0;0;0;0;0
1186;1991;9;0;4;3;11157;2;1;0;0;0;12;99;64
1186;1992;9;0;3;3;8183;0;2;0;1;0;13;91;56
1186;1993;9;0;3;2;8181;1;1;0;0;0;5;65;71
1794;1989;26;0;7;7;25710;3;2;2;1;1;18;175;69
1794;1991;26;0;0;0;0;0;0;0;0;0;0;0;0
1794;1992;26;0;4;4;14700;2;1;1;0;0;8;95;70
1794;1993;26;0;4;3;13295;3;0;0;0;1;7;84;73
1673;1989;9;0;0;0;0;0;0;0;0;0;0;0;0
1673;1993;220;0;3;2;7016;1;1;0;0;0;9;66;56
264;1989;26;0;0;0;0;0;0;0;0;0;0;0;0
264;1990;26;0;4;3;11814;2;1;0;0;0;11;73;54
264;1992;216;0;1;1;2736;0;1;0;0;0;6;33;42
90;1989;21;0;7;7;25480;6;1;0;0;2;12;202;85
90;1990;21;0;7;7;24606;3;3;1;1;0;20;173;63
90;1991;21;0;7;7;24449;2;5;0;0;0;22;181;61
90;1992;21;0;2;0;1843;0;0;0;0;0;1;12;54
90;1993;21;0;3;2;10183;1;1;0;0;0;13;102;64
90;1994;21;0;1;0;1512;0;0;0;0;0;4;11;26
239;1989;12;0;7;7;24137;5;2;0;0;0;24;208;65
239;1992;217;0;4;4;13353;0;4;0;0;0;18;126;56
239;1993;217;0;3;3;10716;1;2;0;0;0;7;84;77
285;1989;24;0;1;0;460;0;1;0;0;0;1;6;50
285;1993;10;0;4;3;11490;4;0;0;0;0;8;94;72
285;1994;10;0;4;2;9850;0;1;1;1;0;9;104;69
528;1989;15;0;7;7;25956;1;4;2;2;0;17;186;72
528;1990;24;0;4;4;14400;4;0;0;0;1;6;75;72
528;1991;24;0;6;6;21506;4;2;0;0;1;14;103;58
528;1992;24;0;4;4;14700;3;0;1;0;0;13;117;67
528;1993;24;0;7;7;25768;3;2;2;1;0;20;196;70
528;1994;24;0;7;7;25165;6;1;0;0;2;7;160;81
528;1995;24;0;7;7;25329;3;4;0;0;1;22;229;77
658;1992;217;0;4;3;11765;0;3;0;0;0;14;107;58
658;1993;217;0;4;4;14295;1;3;0;1;0;13;133;73
658;1994;217;0;2;2;7174;1;1;0;1;0;7;56;62
1753;1989;14;0;4;4;14673;1;2;1;1;0;13;89;55
1753;1990;14;0;7;7;25572;3;3;1;0;2;18;203;75
1753;1991;14;0;7;7;24345;2;4;1;1;0;30;211;59
1753;1992;14;0;1;1;2581;0;0;0;0;0;1;30;93
1753;1993;14;0;7;7;25325;4;3;0;0;0;24;222;69
1753;1994;14;0;7;7;25486;1;5;1;1;0;31;191;51
1753;1995;14;0;7;7;24086;2;4;1;1;0;26;223;69
1753;1996;14;0;7;7;25445;2;4;1;1;1;18;185;72
1837;1989;18;0;3;3;10685;0;3;0;1;0;11;109;75
1837;1990;18;0;2;2;7200;1;1;0;0;0;8;41;43
1837;1991;0;0;4;4;14673;1;2;1;0;1;11;102;70
1837;1993;16;0;0;0;0;0;0;0;0;0;0;0;0
1837;1994;16;0;2;2;7500;1;0;1;0;0;3;72;97
1837;1995;16;0;3;3;10456;2;1;0;0;0;7;76;72
1837;1996;16;0;3;3;9851;0;2;1;0;0;10;66;54
78;1990;8;0;4;4;14357;2;2;0;0;1;13;114;71
78;1991;8;0;4;4;11886;2;2;0;0;0;14;81;52
78;1992;8;0;6;4;17415;1;3;0;0;0;21;165;61
78;1993;221;0;5;5;18247;3;1;1;1;1;13;147;75
78;1994;12;0;2;2;5451;1;1;0;0;0;7;60;63
78;1995;221;0;1;1;3600;1;0;0;0;1;0;32;100
78;1997;220;0;4;3;11892;1;0;2;0;0;7;100;74
455;1989;23;0;7;7;24391;3;4;0;0;1;21;205;66
455;1990;23;0;3;3;10731;1;2;0;1;0;10;76;60
455;1991;23;0;3;3;10696;0;3;0;0;0;10;99;75
455;1992;23;0;4;4;14625;2;2;0;0;0;14;146;80
455;1993;23;0;6;6;20438;1;3;1;1;0;21;193;71
455;1994;23;0;5;5;18227;2;2;1;2;1;14;177;81
455;1996;23;0;1;1;3600;0;1;0;0;0;6;30;39
