BOWL - 1989-90 SEASON,,,,BOWL - 1990-91 SEASON,,,,BOWL - 1991-92 SEASON,,,,BOWL - 1992-93 SEASON,,,,BOWL - 1993-94 SEASON,,
First Team,,,,First Team,,,,First Team,,,,First Team,,,,First Team,,
Position,Team,Player,,Position,Team,Player,,Position,Team,Player,,Position,Team,Player,,Position,Team,Player
Goalie,,Patrick Roy,,Goalie,,Ron Hextall,,Goalie,,Grant Fuhr,,Goalie,,Jimmy Waite,,Goalie,,Ron Hextall
Defence,,Ray Bourque,,Defence,,Brian Leetch,,Defence,,Brian Leetch,,Defence,,Al MacInnis,,Defence,,James Patrick
Defence,,Paul Coffey,,Defence,,Craig Ludwig,,Defence,,Vladimir Malakhov,,Defence,,Frederik Olausson,,Defence,,Frederik Olausson
Left Wing,,Bob Carpenter,,Left Wing,,Luc Robitaille,,Left Wing,,Luc Robitaille,,Left Wing,,Luc Robitaille,,Left Wing,,Luc Robitaille
Center,,Pat LaFontaine,,Center,,Joe Sakic,,Center,,Wayne Gretzky,,Center,,Wayne Gretzky,,Center,,Joe Sakic
Right Wing,,Sergei Makarov,,Right Wing,,Brett Hull,,Right Wing,,Brett Hull,,Right Wing,,Brett Hull,,Right Wing,,Brett Hull
Second Team,,,,Second Team,,,,Second Team,,,,Second Team,,,,Second Team,,
Position,Team,Player,,Position,Team,Player,,Position,Team,Player,,Position,Team,Player,,Position,Team,Player
Goalie,,Mark Fitzpatrick,,Goalie,,Sean Burke,,Goalie,,Ron Hextall,,Goalie,,Grant Fuhr,,Goalie,,Bill Ranford
Defence,,Larry Murphy,,Defence,,Frederik Olausson,,Defence,,Doug Wilson,,Defence,,Ray Bourque,,Defence,,Sylvain Cote
Defence,,Paul Cavallini,,Defence,,Paul Coffey,,Defence,,Ray Bourque,,Defence,,Gary Suter,,Defence,,Kevin Hatcher
Left Wing,,Jari Kurri,,Left Wing,,Jari Kurri,,Left Wing,,Bob Carpenter,,Left Wing,,Teemu Selanne,,Left Wing,,Alexander Mogilny
Center,,Wayne Gretzky,,Center,,Wayne Gretzky,,Center,,Steve Yzerman,,Center,,Steve Yzerman,,Center,,Wayne Gretzky
Right Wing,,Brett Hull,,Right Wing,,Brian Bellows,,Right Wing,,Petr Klima,,Right Wing,,Mike Gartner,,Right Wing,,Teemu Selanne
,,,,,,,,,,,,,,,,,,
BOWL - 1994-95 SEASON,,,,BOWL - 1995-96 SEASON,,,,BOWL - 1996-97 SEASON,,,,BOWL - 1997-98 SEASON,,,,BOWL - 1997-98 SEASON,,
First Team,,,,First Team,,,,First Team,,,,First Team,,,,First Team,,
Position,Team,Player,,Position,Team,Player,,Position,Team,Player,,Position,Team,Player,,Position,Team,Player
Goalie,,Rick Tabaracci,,Goalie,,Trevor Kidd,,Goalie,,Mike Vernon,,Goalie,,Dominik Hasek,,Goalie,,Marty Turco
Defence,,Doug Bodger,,Defence,,Nicklas Lidstrom,,Defence,,Brian Leetch,,Defence,,Mathieu Schneider,,Defence,,Brian Leetch
Defence,,Nicklas Lidstrom,,Defence,,Frederik Olausson,,Defence,,Nicklas Lidstrom,,Defence,,Rob Blake,,Defence,,Ulf Samuelsson
Left Wing,,Joe Nieuwendyk,,Left Wing,,Alexander Mogilny,,Left Wing,,Paul Kariya,,Left Wing,,Gary Roberts,,Left Wing,,Teemu Selanne
Center,,Mario Lemieux,,Center,,Wayne Gretzky,,Center,,Joe Sakic,,Center,,Wayne Gretzky,,Center,,Joe Sakic
Right Wing,,Jaromir Jagr,,Right Wing,,Jaromir Jagr,,Right Wing,,Teemu Selanne,,Right Wing,,Theo Fleury,,Right Wing,,Jaromir Jagr
Second Team,,,,Second Team,,,,Second Team,,,,Second Team,,,,Second Team,,
Position,Team,Player,,Position,Team,Player,,Position,Team,Player,,Position,Team,Player,,Position,Team,Player
Goalie,,Chris Osgood,,Goalie,,Rick Tabaracci,,Goalie,,Patrick Lalime,,Goalie,,Trevor Kidd,,Goalie,,Trevor Kidd
Defence,,Alexei Zhitnik,,Defence,,Brian Rafalski,,Defence,,Fedrik Olausson,,Defence,,Steve Staios,,Defence,,Mike Crowley
Defence,,Ulf Samuelsson,,Defence,,Per Djoos,,Defence,,Steve Staios,,Defence,,Brian Leetch,,Defence,,Martin Strbak
Left Wing,,Pierre Turgeon,,Left Wing,,Luc Robitaille,,Left Wing,,Luc Robitaille,,Left Wing,,Keith Tkachuk,,Left Wing,,Paul Kariya
Center,,Steve Yzerman,,Center,,Mario Lemieux,,Center,,Mario Lemieux,,Center,,Joe Sakic,,Center,,Peter Forsberg
Right Wing,,Brett Hull,,Right Wing,,Brett Hull,,Right Wing,,Todd Bertuzzi,,Right Wing,,Miroslav Satan,,Right Wing,,Martin St.-Louis
