team_fhm_id,start_year,end_year,team_name,logo_file
4,1919,1919,Quebec Bulldogs,logos/teams/bowl_historical/quebec_bulldogs.png
4,1920,1924,Hamilton Tigers,logos/teams/bowl_historical/hamilton_tigers.png
4,1925,1926,New York Americans,logos/teams/bowl_historical/new_york_americans.png
6,1934,1934,St-Louis Eagles,logos/teams/bowl_historical/st__louis_eagles.png
7,1925,1929,Pittsburgh Pirates,logos/teams/bowl_historical/pit-t7.png
12,1967,1985,Minnesota North Stars,logos/teams/bowl_historical/minnesota_north_stars_1967-1985.png
12,1986,1990,Minnesota North Stars,logos/teams/bowl_historical/minnesota_north_stars_1985-1990.png
12,1991,1991,Minnesota North Stars,logos/teams/bowl_historical/minnesota_north_stars_1991-1992.png
12,1992,1993,Dallas Stars,logos/teams/bowl_historical/dallas_stars_1993-1993.png
12,1994,2012,Dallas Stars,logos/teams/bowl_historical/dallas_stars_1994-2012.png
12,2013,2100,Dallas Stars,logos/teams/bowl_historical/dallas_stars_2013-2018.png
19,1972,1979,Atlanta Flames,logos/teams/bowl_historical/atlanta_flames_1972-1979.png
19,1980,1993,Calgary Flames,logos/teams/bowl_historical/calgary_flames_1980-1993.png
19,1994,2100,Calgary Flames,logos/teams/bowl_historical/calgary_flames_1994-2018.png
21,1974,1975,Kansas City Scouts,logos/teams/bowl_historical/kansas_city_scouts_1974.png
21,1976,1981,Colorado Rockies,logos/teams/bowl_historical/colorado_rockies_1976.png
21,1982,1985,New Jersey Devils,logos/teams/bowl_historical/new_jersey_devils_1982-1985.png
21,1986,1991,New Jersey Devils,logos/teams/bowl_historical/new_jersey_devils_1986-1991.png
21,1992,1998,New Jersey Devils,logos/teams/bowl_historical/new_jersey_devils_1992-1998.png
21,1999,2100,New Jersey Devils,logos/teams/bowl_historical/new_jersey_devils_1999-2018.png
24,1979,1991,Hartford Whalers,logos/teams/bowl_historical/hartford_whalers_1979-1991.png
24,1992,1996,Hartford Whalers,logos/teams/bowl_historical/hartford_whalers_1992-1997.png
24,1997,1998,Carolina Hurricanes,logos/teams/bowl_historical/carolina_hurricanes_1997-1998.png
24,1999,2100,Carolina Hurricanes,logos/teams/bowl_historical/carolina_hurricanes_1999-2018.png
25,1979,1994,Quebec Nordiques,logos/teams/bowl_historical/quebec_nordiques_1979-1995.png
25,1995,1998,Colorado Avalanche,logos/teams/bowl_historical/colorado_avalanche_1995-1998.png
25,1999,2100,Colorado Avalanche,logos/teams/bowl_historical/colorado_avalanche_1999-2018.png
26,1979,1989,Winnipeg Jets,logos/teams/bowl_historical/winnipeg_jets_1972-1989.png
26,1990,1995,Winnipeg Jets,logos/teams/bowl_historical/winnipeg_jets_1990-1995.png
26,1996,2002,Phoenix Coyotes,logos/teams/bowl_historical/phoenix_coyotes_1996-2002.png
26,2003,2013,Phoenix Coyotes,logos/teams/bowl_historical/phoenix_coyotes_2003-2013.png
26,2014,2023,Arizona Coyotes,logos/teams/bowl_historical/arizona_coyotes_2014-2023.png
26,2024,2100,Utah Mammoth,logos/teams/bowl_historical/utah_mammoth_2024-present.png
36,1999,2010,Atlanta Thrashers,logos/teams/bowl_historical/atlanta_thrashers.png
36,2011,2100,Winnipeg Jets,logos/teams/bowl_historical/winnipeg_jets_2011-2018.png
119,1967,1985,,logos/teams/bowl_historical/minnesota_north_stars_1967-1985.png
119,1986,1990,,logos/teams/bowl_historical/minnesota_north_stars_1985-1990.png
119,1991,2100,,logos/teams/bowl_historical/minnesota_north_stars_1991-1992.png
120,1967,1969,Oakland Seals,logos/teams/bowl_historical/oak-t120.png
120,1970,1973,California Golden Seals,logos/teams/bowl_historical/california_golden_seals_1970-1973.png
120,1974,1975,California Golden Seals,logos/teams/bowl_historical/california_golden_seals_1974-1975.png
120,1976,1977,Cleveland Barons,logos/teams/bowl_historical/cleveland_barons_1976-1977.png
13,1967,1969,Oakland Seals,logos/teams/bowl_historical/oak-t120.png
13,1970,1973,California Golden Seals,logos/teams/bowl_historical/california_golden_seals_1970-1973.png
13,1974,1975,California Golden Seals,logos/teams/bowl_historical/california_golden_seals_1974-1975.png
13,1976,1977,Cleveland Barons,logos/teams/bowl_historical/cleveland_barons_1976-1977.png
122,1967,1967,Pittsburgh Penguins,logos/teams/bowl_historical/pittsburgh_penguins_1967-1967.png
122,1968,1971,Pittsburgh Penguins,logos/teams/bowl_historical/pittsburgh_penguins_1968-1971.png
122,1972,1991,Pittsburgh Penguins,logos/teams/bowl_historical/pittsburgh_penguins_1972-1991.png
122,1992,2001,Pittsburgh Penguins,logos/teams/bowl_historical/pittsburgh_penguins_1992-2001.png
122,2002,2015,Pittsburgh Penguins,logos/teams/bowl_historical/pittsburgh_penguins_2002-2015.png
122,2016,2100,Pittsburgh Penguins,logos/teams/bowl_historical/pittsburgh_penguins_2016-2018.png
123,1967,2100,St. Louis Blues,logos/teams/bowl_historical/stl-t123.png
