Year,Team ID,Team Name Override,Conference ID,Division ID,Suggested Team Name,Suggested Team ID,Suggested Team Abbr
1917-18,,Ottawa Senators,,,,,
1918-19,,Ottawa Senators,,,,,
1919-20,,Ottawa Senators,,,,,
1919-20,,Quebec Bulldogs,,,,,
1920-21,,Hamilton Tigers,,,,,
1920-21,,Ottawa Senators,,,,,
1921-22,,Ottawa Senators,,,,,
1921-22,,Hamilton Tigers,,,,,
1922-23,,Ottawa Senators,,,,,
1922-23,,Hamilton Tigers,,,,,
1923-24,,Ottawa Senators,,,,,
1923-24,,Hamilton Tigers,,,,,
1924-25,,Hamilton Tigers,,,,,
1924-25,,Ottawa Senators,,,,,
1925-26,,Ottawa Senators,,,,,
1926-27,,Ottawa Senators,,,,,
1927-28,,Ottawa Senators,,,,,
1928-29,,Ottawa Senators,,,,,
1929-30,,Ottawa Senators,,,,,
1930-31,,Ottawa Senators,,,,,
1932-33,,Ottawa Senators,,,,,
1933-34,,Ottawa Senators,,,,,
1941-42,,Brooklyn Americans,,,,,
